year,month,state,count_obs
2020,3,MO,88
2020,4,MO,92
2020,5,MO,19
2020,6,MO,6
2020,7,MO,22
2018,1,MS,183
2018,2,MS,130
2018,3,MS,317
2018,4,MS,161
2018,5,MS,184
2018,6,MS,253
2018,7,MS,270
2018,8,MS,356
2018,9,MS,338
2018,10,MS,246
2018,11,MS,379
2018,12,MS,207
2019,1,MS,287
2019,2,MS,309
2019,3,MS,226
2019,4,MS,228
2019,5,MS,244
2019,6,MS,161
2019,7,MS,158
2019,8,MS,248
2019,9,MS,228
2019,10,MS,206
2019,11,MS,261
2019,12,MS,225
2020,1,MS,364
2020,2,MS,333
2020,3,MS,277
2020,4,MS,78
2020,5,MS,163
2020,6,MS,208
2020,7,MS,114
2018,1,MT,9
2018,2,MT,13
2018,3,MT,22
2018,4,MT,40
2018,5,MT,54
2018,6,MT,27
2018,7,MT,1
2018,8,MT,3
2018,9,MT,6
2018,10,MT,16
2018,11,MT,4
2018,12,MT,5
2019,1,MT,14
2019,2,MT,17
2019,3,MT,10
2019,4,MT,53
2019,5,MT,175
2019,6,MT,60
2019,7,MT,28
2019,8,MT,26
2019,9,MT,7
2019,10,MT,15
2020,3,MT,16
2020,4,MT,14
2020,5,MT,17
2020,7,MT,4
2018,1,NC,321
2018,2,NC,449
2018,3,NC,964
2018,4,NC,1517
2018,5,NC,1151
2018,6,NC,643
2018,7,NC,605
2018,8,NC,589
2018,9,NC,894
2018,10,NC,1236
2018,11,NC,857
2018,12,NC,228
2019,1,NC,230
2019,2,NC,1264
2019,3,NC,1392
2019,4,NC,1112
2019,5,NC,1345
2019,6,NC,990
2019,7,NC,1046
2019,8,NC,1199
2019,9,NC,1740
2019,10,NC,1860
2019,11,NC,1382
2019,12,NC,396
2020,1,NC,421
2020,2,NC,657
2020,3,NC,1312
2020,4,NC,807
2020,5,NC,765
2020,6,NC,318
2020,7,NC,164
2018,3,ND,1
2018,4,ND,1238
2018,5,ND,1992
2018,6,ND,663
2018,7,ND,1134
2018,8,ND,1701
2018,9,ND,954
2018,10,ND,855
2018,11,ND,279
2019,1,ND,3
2019,4,ND,2144
2019,5,ND,1898
2019,6,ND,473
2019,7,ND,466
2019,8,ND,1077
2019,9,ND,857
2019,10,ND,858
2019,11,ND,386
2020,4,ND,1
2018,4,NE,2
2018,5,NE,3
2019,3,NE,1
2019,4,NE,24
2019,5,NE,23
2019,6,NE,2
2019,7,NE,2
2019,8,NE,1
2019,9,NE,37
2019,10,NE,34
2020,3,NE,1
2020,4,NE,2
2020,5,NE,1
2018,1,NH,3
2018,3,NH,1
2018,4,NH,905
2018,5,NH,2508
2018,6,NH,1653
2018,7,NH,1947
2018,8,NH,1878
2018,9,NH,1233
2018,10,NH,720
2018,11,NH,42
2019,3,NH,10
2019,4,NH,923
2019,5,NH,2728
2019,6,NH,2053
2019,7,NH,1334
2019,8,NH,1661
2019,9,NH,1796
2019,10,NH,1280
2019,11,NH,89
2020,3,NH,26
2020,4,NH,659
2020,5,NH,1173
2020,6,NH,917
2020,7,NH,901
2018,1,NJ,34
2018,2,NJ,36
2018,3,NJ,8
2018,4,NJ,52
2018,5,NJ,20
2018,6,NJ,1
2018,7,NJ,1
2018,9,NJ,43
2018,10,NJ,151
2018,11,NJ,22
2019,3,NJ,2
2019,4,NJ,19
2019,5,NJ,1
2019,7,NJ,12
2019,9,NJ,3
2019,10,NJ,4
2019,11,NJ,1
2019,12,NJ,4
2020,3,NJ,267
2020,4,NJ,579
2020,5,NJ,420
2020,6,NJ,399
2020,7,NJ,96
2018,1,NM,874
2018,2,NM,793
2018,3,NM,1000
2018,4,NM,1000
2018,5,NM,1102
2018,6,NM,921
2018,7,NM,952
2018,8,NM,1102
2018,9,NM,838
2018,10,NM,1156
2018,11,NM,1004
2018,12,NM,747
2019,1,NM,795
2019,2,NM,767
2019,3,NM,909
2019,4,NM,979
2019,5,NM,1020
2019,6,NM,891
2019,7,NM,1163
2019,8,NM,1119
2019,9,NM,1045
2019,10,NM,1054
2019,11,NM,775
2019,12,NM,874
2020,1,NM,627
2020,2,NM,420
2020,3,NM,400
2020,4,NM,250
2020,5,NM,258
2020,6,NM,177
2020,7,NM,206
2018,1,NV,1
2018,2,NV,6
2018,3,NV,3
2018,4,NV,7
2018,5,NV,1
2018,6,NV,2
2018,7,NV,1
2018,8,NV,5
2018,9,NV,7
2018,10,NV,3
2018,11,NV,3
2019,3,NV,5
2019,4,NV,7
2019,5,NV,4
2019,6,NV,10
2019,7,NV,6
2019,8,NV,25
2019,9,NV,407
2019,10,NV,200
2019,11,NV,8
2020,2,NV,5
2020,3,NV,1
2020,7,NV,2
2018,1,NY,925
2018,2,NY,2237
2018,3,NY,6163
2018,4,NY,6927
2018,5,NY,7449
2018,6,NY,6237
2018,7,NY,4097
2018,8,NY,3166
2018,9,NY,4117
2018,10,NY,4912
2018,11,NY,3430
2018,12,NY,978
2019,1,NY,718
2019,2,NY,1563
2019,3,NY,4188
2019,4,NY,7392
2019,5,NY,5473
2019,6,NY,4262
2019,7,NY,3511
2019,8,NY,3036
2019,9,NY,5370
2019,10,NY,5893
2019,11,NY,4335
2019,12,NY,1487
2020,1,NY,1311
2020,2,NY,3313
2020,3,NY,4254
2020,4,NY,2216
2020,5,NY,1936
2020,6,NY,1967
2020,7,NY,1087
2018,1,OH,10
2018,2,OH,21
2018,3,OH,138
2018,4,OH,360
2018,5,OH,373
2018,6,OH,149
2018,7,OH,134
2018,8,OH,135
2018,9,OH,99
2018,10,OH,75
2018,11,OH,62
2019,1,OH,24
2019,2,OH,126
2019,3,OH,372
2019,4,OH,1006
2019,5,OH,588
2019,6,OH,424
2019,7,OH,387
2019,8,OH,266
2019,9,OH,281
2019,10,OH,377
2019,11,OH,253
2019,12,OH,101
2020,1,OH,58
2020,2,OH,46
2020,3,OH,641
2020,4,OH,637
2020,5,OH,544
2020,6,OH,339
2020,7,OH,250
2018,1,OK,366
2018,2,OK,384
2018,3,OK,384
2018,4,OK,484
2018,5,OK,400
2018,6,OK,398
2018,7,OK,503
2018,8,OK,416
2018,9,OK,395
2018,10,OK,495
2018,11,OK,305
2018,12,OK,396
2019,1,OK,297
2019,2,OK,302
2019,3,OK,413
2019,4,OK,473
2019,5,OK,519
2019,6,OK,398
2019,8,OK,24
2019,9,OK,295
2019,10,OK,608
2019,11,OK,501
2019,12,OK,530
2020,1,OK,251
2020,2,OK,133
2020,3,OK,46
2020,4,OK,10
2020,5,OK,12
2020,7,OK,7
2018,1,OR,447
2018,2,OR,556
2018,3,OR,563
2018,4,OR,606
2018,5,OR,551
2018,6,OR,401
2018,7,OR,466
2018,8,OR,341
2018,9,OR,400
2018,10,OR,300
2018,11,OR,179
2018,12,OR,94
2019,1,OR,106
2019,2,OR,172
2019,3,OR,459
2019,4,OR,482
2019,5,OR,579
2019,6,OR,499
2019,7,OR,400
2019,8,OR,297
2019,9,OR,414
2019,10,OR,319
2019,11,OR,163
2019,12,OR,89
2020,1,OR,178
2020,2,OR,462
2020,3,OR,672
2020,4,OR,570
2020,5,OR,341
2020,6,OR,259
2020,7,OR,155
2018,1,PA,420
2018,2,PA,661
2018,3,PA,1180
2018,4,PA,1250
2018,5,PA,656
2018,6,PA,251
2018,7,PA,276
2018,8,PA,253
2018,9,PA,174
2018,10,PA,118
2018,11,PA,153
2018,12,PA,78
2019,1,PA,49
2019,2,PA,63
2019,3,PA,338
2019,4,PA,476
2019,5,PA,409
2019,6,PA,296
2019,7,PA,194
2019,8,PA,166
2019,9,PA,132
2019,10,PA,124
2019,11,PA,36
2019,12,PA,18
2020,1,PA,39
2020,2,PA,129
2020,3,PA,387
2020,4,PA,634
2020,5,PA,527
2020,6,PA,180
2020,7,PA,163
2018,3,RI,20
2018,4,RI,38
2020,3,RI,20
2018,1,SC,5
2018,2,SC,176
2018,3,SC,387
2018,4,SC,390
2018,5,SC,403
2018,6,SC,286
2018,7,SC,112
2018,8,SC,93
2018,9,SC,90
2018,10,SC,115
2018,11,SC,120
2018,12,SC,124
2019,1,SC,168
2019,2,SC,196
2019,3,SC,253
2019,4,SC,247
2019,5,SC,281
2019,6,SC,311
2019,7,SC,135
2019,8,SC,101
2019,9,SC,117
2019,10,SC,10
2019,11,SC,25
2019,12,SC,8
2020,1,SC,3
2020,4,SC,18
2020,5,SC,41
2020,6,SC,40
2018,1,SD,123
2018,2,SD,179
2018,3,SD,194
2018,4,SD,233
2018,5,SD,258
2018,6,SD,32
2018,7,SD,17
2018,8,SD,31
2018,9,SD,94
2018,10,SD,80
2018,11,SD,55
2018,12,SD,37
2019,1,SD,236
2019,2,SD,360
2019,3,SD,397
2019,4,SD,489
2019,5,SD,266
2019,6,SD,157
2019,7,SD,146
2019,8,SD,74
2019,9,SD,111
2019,10,SD,146
2019,11,SD,152
2019,12,SD,122
2020,1,SD,53
2020,2,SD,65
2020,3,SD,55
2020,4,SD,86
2020,5,SD,74
2020,6,SD,129
2020,7,SD,109
2018,1,TN,1329
2018,2,TN,1281
2018,3,TN,4409
2018,4,TN,4660
2018,5,TN,4267
2018,6,TN,3136
2018,7,TN,2620
2018,8,TN,2678
2018,9,TN,2929
2018,10,TN,3270
2018,11,TN,2582
2018,12,TN,956
2019,1,TN,865
2019,2,TN,1150
2019,3,TN,3965
2019,4,TN,4359
2019,5,TN,3271
2019,6,TN,1970
2019,7,TN,2475
2019,8,TN,2240
2019,9,TN,3557
2019,10,TN,2823
2019,11,TN,2552
2019,12,TN,1735
2020,1,TN,1244
2020,2,TN,1265
2020,3,TN,2407
2020,4,TN,1638
2020,5,TN,1641
2020,6,TN,412
2020,7,TN,282
2018,1,TX,709
2018,2,TX,702
2018,3,TX,547
2018,4,TX,791
2018,5,TX,816
2018,6,TX,277
2018,7,TX,781
2018,8,TX,561
2018,9,TX,497
2018,10,TX,517
2018,11,TX,510
2018,12,TX,586
2019,1,TX,656
2019,2,TX,828
2019,3,TX,891
2019,4,TX,828
2019,5,TX,690
2019,6,TX,388
2019,7,TX,309
2019,8,TX,26
2019,9,TX,527
2019,10,TX,845
2019,11,TX,544
2019,12,TX,506
2020,1,TX,755
2020,2,TX,646
2020,3,TX,500
2020,4,TX,246
2020,5,TX,73
2020,6,TX,222
2020,7,TX,539
2018,1,UT,31
2018,2,UT,1326
2018,3,UT,2226
2018,4,UT,1647
2018,5,UT,1012
2018,6,UT,396
2018,7,UT,396
2018,8,UT,499
2018,9,UT,449
2018,10,UT,743
2018,11,UT,489
2018,12,UT,1
2019,2,UT,99
2019,3,UT,622
2019,4,UT,1239
2019,5,UT,1269
2019,6,UT,1020
2019,7,UT,883
2019,8,UT,791
2019,9,UT,593
2019,10,UT,666
2019,11,UT,548
2019,12,UT,462
2020,1,UT,104
2020,2,UT,29
2020,3,UT,115
2020,4,UT,178
2020,5,UT,114
2020,6,UT,58
2020,7,UT,51
2018,1,VA,115
2018,2,VA,1009
2018,3,VA,1828
2018,4,VA,2526
2018,5,VA,2432
2018,6,VA,1013
2018,7,VA,974
2018,8,VA,1434
2018,9,VA,1806
2018,10,VA,1868
2018,11,VA,902
2018,12,VA,223
2019,1,VA,190
2019,2,VA,753
2019,3,VA,1919
2019,4,VA,3127
2019,5,VA,2673
2019,6,VA,1267
2019,7,VA,1185
2019,8,VA,1976
2019,9,VA,1808
2019,10,VA,1405
2019,11,VA,782
2019,12,VA,197
2020,1,VA,112
2020,2,VA,122
2020,3,VA,275
2020,4,VA,150
2020,5,VA,246
2020,6,VA,145
2020,7,VA,170
2020,10,VA,8
2018,5,VT,6
2018,10,VT,3
2019,1,VT,2
2019,2,VT,2
2019,3,VT,2
2019,4,VT,62
2019,5,VT,33
2019,6,VT,14
2019,7,VT,10
2019,9,VT,12
2019,10,VT,128
2019,11,VT,68
2019,12,VT,13
2020,1,VT,41
2020,2,VT,40
2020,3,VT,201
2020,4,VT,86
2020,5,VT,28
2020,6,VT,10
2018,1,WA,436
2018,2,WA,847
2018,3,WA,926
2018,4,WA,1445
2018,5,WA,1880
2018,6,WA,1787
2018,7,WA,1200
2018,8,WA,671
2018,9,WA,387
2018,10,WA,276
2018,11,WA,234
2018,12,WA,114
2019,1,WA,184
2019,2,WA,485
2019,3,WA,1026
2019,4,WA,1636
2019,5,WA,1809
2019,6,WA,1347
2019,7,WA,850
2019,8,WA,372
2019,9,WA,400
2019,10,WA,216
2019,11,WA,161
2019,12,WA,56
2020,1,WA,76
2020,2,WA,212
2020,3,WA,226
2020,4,WA,254
2020,5,WA,260
2020,6,WA,116
2020,7,WA,110
2018,1,WI,59
2018,2,WI,56
2018,3,WI,88
2018,4,WI,615
2018,5,WI,1126
2018,6,WI,325
2018,7,WI,171
2018,8,WI,431
2018,9,WI,139
2018,10,WI,195
2018,12,WI,5
2019,1,WI,7
2019,2,WI,20
2019,3,WI,146
2019,4,WI,680
2019,5,WI,1121
2019,6,WI,917
2019,7,WI,488
2019,8,WI,576
2019,9,WI,459
2019,10,WI,236
2019,11,WI,4
2020,1,WI,3
2020,2,WI,8
2020,3,WI,43
2020,4,WI,279
2020,5,WI,371
2020,6,WI,141
2020,7,WI,42
2018,1,WV,25
2018,2,WV,24
2018,3,WV,150
2018,4,WV,362
2018,5,WV,296
2018,6,WV,136
2018,7,WV,126
2018,8,WV,111
2018,9,WV,129
2018,10,WV,385
2018,11,WV,156
2019,1,WV,11
2019,2,WV,205
2019,3,WV,265
2019,4,WV,442
2019,5,WV,152
2019,6,WV,59
2019,7,WV,77
2019,8,WV,77
2019,9,WV,111
2019,10,WV,152
2019,11,WV,52
2020,2,WV,15
2020,3,WV,62
2020,4,WV,122
2020,5,WV,140
2020,6,WV,57
2020,7,WV,38
2018,2,WY,9
2018,3,WY,1
2018,4,WY,87
2018,5,WY,103
2018,6,WY,163
2018,7,WY,177
2018,8,WY,161
2018,9,WY,168
2018,10,WY,196
2018,11,WY,180
2019,2,WY,12
2019,3,WY,4
2019,4,WY,624
2019,5,WY,1247
2019,6,WY,709
2019,7,WY,436
2019,8,WY,325
2019,9,WY,242
2019,10,WY,159
2019,11,WY,126
2020,3,WY,6
2020,4,WY,176
2020,5,WY,92
2020,6,WY,46
2020,7,WY,16
